Gradients do not exist for variables ['tdnn/dense_4/kernel:0', 'tdnn/dense_4/bias:0'] when minimizing the loss. If you're using `model.compile()`, did you forget to provide a `loss`argument?
Gradients do not exist for variables ['tdnn/dense_4/kernel:0', 'tdnn/dense_4/bias:0'] when minimizing the loss. If you're using `model.compile()`, did you forget to provide a `loss`argument?
gstep[100] loss[0.42] lr[9.96e-05]
gstep[7800] loss[0.13] lr[7.27e-05]
gstep[7900] loss[0.22] lr[7.24e-05]
gstep[8000] loss[0.18] lr[7.21e-05]
model is saved as exps/xvec-small-triplet/model-8000.ckpt
gstep[8100] loss[0.17] lr[7.18e-05]
gstep[8200] loss[0.17] lr[7.16e-05]
gstep[8300] loss[0.17] lr[7.13e-05]
gstep[8400] loss[0.15] lr[7.10e-05]
gstep[8500] loss[0.18] lr[7.07e-05]
gstep[8600] loss[0.17] lr[7.04e-05]
gstep[8700] loss[0.11] lr[7.01e-05]
gstep[8800] loss[0.17] lr[6.98e-05]
gstep[8900] loss[0.13] lr[6.95e-05]
gstep[9000] loss[0.16] lr[6.93e-05]
model is saved as exps/xvec-small-triplet/model-9000.ckpt
gstep[9100] loss[0.18] lr[6.90e-05]
gstep[9200] loss[0.14] lr[6.87e-05]
gstep[9300] loss[0.14] lr[6.84e-05]
gstep[9400] loss[0.16] lr[6.81e-05]
gstep[9500] loss[0.18] lr[6.79e-05]
gstep[9600] loss[0.19] lr[6.76e-05]
gstep[9700] loss[0.14] lr[6.73e-05]
gstep[9800] loss[0.11] lr[6.70e-05]
gstep[9900] loss[0.15] lr[6.68e-05]
gstep[10000] loss[0.16] lr[6.65e-05]
model is saved as exps/xvec-small-triplet/model-10000.ckpt
gstep[10100] loss[0.14] lr[6.62e-05]
gstep[10200] loss[0.17] lr[6.59e-05]
gstep[10300] loss[0.23] lr[6.57e-05]
gstep[10400] loss[0.16] lr[6.54e-05]
gstep[10500] loss[0.19] lr[6.51e-05]
gstep[10600] loss[0.17] lr[6.49e-05]
gstep[10700] loss[0.16] lr[6.46e-05]
gstep[10800] loss[0.21] lr[6.43e-05]
gstep[10900] loss[0.16] lr[6.41e-05]
gstep[11000] loss[0.10] lr[6.38e-05]
model is saved as exps/xvec-small-triplet/model-11000.ckpt
gstep[11100] loss[0.14] lr[6.36e-05]
gstep[11200] loss[0.12] lr[6.33e-05]
gstep[11300] loss[0.19] lr[6.30e-05]
gstep[11400] loss[0.25] lr[6.28e-05]
gstep[11500] loss[0.11] lr[6.25e-05]
gstep[11600] loss[0.15] lr[6.23e-05]
gstep[11700] loss[0.13] lr[6.20e-05]
gstep[11800] loss[0.11] lr[6.18e-05]
gstep[11900] loss[0.16] lr[6.15e-05]
gstep[12000] loss[0.16] lr[6.13e-05]
model is saved as exps/xvec-small-triplet/model-12000.ckpt
gstep[12100] loss[0.13] lr[6.10e-05]
gstep[12200] loss[0.11] lr[6.08e-05]
gstep[12300] loss[0.14] lr[6.05e-05]
gstep[12400] loss[0.11] lr[6.03e-05]
gstep[12500] loss[0.17] lr[6.00e-05]
gstep[12600] loss[0.18] lr[5.98e-05]
gstep[12700] loss[0.16] lr[5.95e-05]
gstep[12800] loss[0.13] lr[5.93e-05]
gstep[12900] loss[0.19] lr[5.91e-05]
gstep[13000] loss[0.15] lr[5.88e-05]
model is saved as exps/xvec-small-triplet/model-13000.ckpt
gstep[13100] loss[0.16] lr[5.86e-05]
gstep[13200] loss[0.14] lr[5.83e-05]
gstep[13300] loss[0.14] lr[5.81e-05]
gstep[13400] loss[0.16] lr[5.79e-05]
gstep[13500] loss[0.16] lr[5.76e-05]
gstep[13600] loss[0.14] lr[5.74e-05]
gstep[13700] loss[0.16] lr[5.72e-05]
gstep[13800] loss[0.14] lr[5.69e-05]
gstep[13900] loss[0.11] lr[5.67e-05]
gstep[14000] loss[0.09] lr[5.65e-05]
model is saved as exps/xvec-small-triplet/model-14000.ckpt
gstep[14100] loss[0.19] lr[5.62e-05]
gstep[14200] loss[0.16] lr[5.60e-05]
gstep[14300] loss[0.11] lr[5.58e-05]
gstep[14400] loss[0.14] lr[5.56e-05]
gstep[14500] loss[0.18] lr[5.53e-05]
gstep[14600] loss[0.18] lr[5.51e-05]
gstep[14700] loss[0.11] lr[5.49e-05]
gstep[14800] loss[0.16] lr[5.47e-05]
gstep[14900] loss[0.16] lr[5.44e-05]
gstep[15000] loss[0.13] lr[5.42e-05]
model is saved as exps/xvec-small-triplet/model-15000.ckpt
gstep[15100] loss[0.14] lr[5.40e-05]
gstep[15200] loss[0.10] lr[5.38e-05]
gstep[15300] loss[0.13] lr[5.35e-05]
gstep[15400] loss[0.14] lr[5.33e-05]
gstep[15500] loss[0.16] lr[5.31e-05]
gstep[15600] loss[0.11] lr[5.29e-05]
gstep[15700] loss[0.09] lr[5.27e-05]
gstep[15800] loss[0.09] lr[5.25e-05]
gstep[15900] loss[0.10] lr[5.23e-05]
gstep[16000] loss[0.16] lr[5.20e-05]
model is saved as exps/xvec-small-triplet/model-16000.ckpt
gstep[16100] loss[0.13] lr[5.18e-05]
gstep[16200] loss[0.19] lr[5.16e-05]
gstep[16300] loss[0.10] lr[5.14e-05]
gstep[16400] loss[0.11] lr[5.12e-05]
gstep[16500] loss[0.11] lr[5.10e-05]
gstep[16600] loss[0.17] lr[5.08e-05]
gstep[16700] loss[0.11] lr[5.06e-05]
gstep[16800] loss[0.13] lr[5.04e-05]
gstep[16900] loss[0.16] lr[5.02e-05]
gstep[17000] loss[0.12] lr[5.00e-05]
model is saved as exps/xvec-small-triplet/model-17000.ckpt
gstep[17100] loss[0.15] lr[4.98e-05]
gstep[17200] loss[0.13] lr[4.96e-05]
gstep[17300] loss[0.15] lr[4.94e-05]
gstep[17400] loss[0.10] lr[4.91e-05]
gstep[17500] loss[0.10] lr[4.89e-05]
gstep[17600] loss[0.23] lr[4.87e-05]
gstep[17700] loss[0.13] lr[4.86e-05]
gstep[17800] loss[0.13] lr[4.84e-05]
gstep[17900] loss[0.10] lr[4.82e-05]
gstep[18000] loss[0.11] lr[4.80e-05]
model is saved as exps/xvec-small-triplet/model-18000.ckpt
gstep[18100] loss[0.10] lr[4.78e-05]
gstep[18200] loss[0.10] lr[4.76e-05]
gstep[18300] loss[0.10] lr[4.74e-05]
gstep[18400] loss[0.12] lr[4.72e-05]
gstep[18500] loss[0.21] lr[4.70e-05]
gstep[18600] loss[0.11] lr[4.68e-05]
gstep[18700] loss[0.13] lr[4.66e-05]
gstep[18800] loss[0.14] lr[4.64e-05]
gstep[18900] loss[0.10] lr[4.62e-05]
gstep[19000] loss[0.13] lr[4.60e-05]
model is saved as exps/xvec-small-triplet/model-19000.ckpt
gstep[19100] loss[0.10] lr[4.59e-05]
gstep[19200] loss[0.11] lr[4.57e-05]
gstep[19300] loss[0.11] lr[4.55e-05]
gstep[19400] loss[0.08] lr[4.53e-05]
gstep[19500] loss[0.10] lr[4.51e-05]
gstep[19600] loss[0.18] lr[4.49e-05]
gstep[19700] loss[0.10] lr[4.47e-05]
gstep[19800] loss[0.13] lr[4.46e-05]
gstep[19900] loss[0.09] lr[4.44e-05]
gstep[20000] loss[0.12] lr[4.42e-05]
model is saved as exps/xvec-small-triplet/model-20000.ckpt
gstep[20100] loss[0.09] lr[4.40e-05]
gstep[20200] loss[0.13] lr[4.38e-05]
gstep[20300] loss[0.16] lr[4.37e-05]
gstep[20400] loss[0.10] lr[4.35e-05]
gstep[20500] loss[0.13] lr[4.33e-05]
gstep[20600] loss[0.10] lr[4.31e-05]
gstep[20700] loss[0.11] lr[4.30e-05]
gstep[20800] loss[0.13] lr[4.28e-05]
gstep[20900] loss[0.17] lr[4.26e-05]
gstep[21000] loss[0.08] lr[4.24e-05]
model is saved as exps/xvec-small-triplet/model-21000.ckpt
gstep[21100] loss[0.14] lr[4.23e-05]
gstep[21200] loss[0.16] lr[4.21e-05]
gstep[21300] loss[0.10] lr[4.19e-05]
gstep[21400] loss[0.11] lr[4.17e-05]
gstep[21500] loss[0.13] lr[4.16e-05]
gstep[21600] loss[0.11] lr[4.14e-05]
gstep[21700] loss[0.15] lr[4.12e-05]
gstep[21800] loss[0.14] lr[4.11e-05]
gstep[21900] loss[0.18] lr[4.09e-05]
gstep[22000] loss[0.12] lr[4.07e-05]
model is saved as exps/xvec-small-triplet/model-22000.ckpt
gstep[22100] loss[0.12] lr[4.06e-05]
gstep[22200] loss[0.15] lr[4.04e-05]
gstep[22300] loss[0.16] lr[4.02e-05]
gstep[22400] loss[0.12] lr[4.01e-05]
gstep[22500] loss[0.14] lr[3.99e-05]
gstep[22600] loss[0.11] lr[3.97e-05]
gstep[22700] loss[0.19] lr[3.96e-05]
gstep[22800] loss[0.14] lr[3.94e-05]
gstep[22900] loss[0.08] lr[3.93e-05]
gstep[23000] loss[0.11] lr[3.91e-05]
model is saved as exps/xvec-small-triplet/model-23000.ckpt
gstep[23100] loss[0.14] lr[3.89e-05]
gstep[23200] loss[0.09] lr[3.88e-05]
gstep[23300] loss[0.13] lr[3.86e-05]
gstep[23400] loss[0.08] lr[3.85e-05]
gstep[23500] loss[0.13] lr[3.83e-05]
gstep[23600] loss[0.12] lr[3.82e-05]
gstep[23700] loss[0.14] lr[3.80e-05]
gstep[23800] loss[0.16] lr[3.78e-05]
gstep[23900] loss[0.14] lr[3.77e-05]
gstep[24000] loss[0.18] lr[3.75e-05]
model is saved as exps/xvec-small-triplet/model-24000.ckpt
gstep[24100] loss[0.12] lr[3.74e-05]
gstep[24200] loss[0.12] lr[3.72e-05]
gstep[24300] loss[0.13] lr[3.71e-05]
gstep[24400] loss[0.09] lr[3.69e-05]
gstep[24500] loss[0.16] lr[3.68e-05]
gstep[24600] loss[0.17] lr[3.66e-05]
gstep[24700] loss[0.07] lr[3.65e-05]
gstep[24800] loss[0.08] lr[3.63e-05]
gstep[24900] loss[0.16] lr[3.62e-05]
gstep[25000] loss[0.10] lr[3.60e-05]
model is saved as exps/xvec-small-triplet/model-25000.ckpt
gstep[25100] loss[0.08] lr[3.59e-05]
gstep[25200] loss[0.11] lr[3.57e-05]
gstep[25300] loss[0.13] lr[3.56e-05]
gstep[25400] loss[0.11] lr[3.55e-05]
gstep[25500] loss[0.10] lr[3.53e-05]
gstep[25600] loss[0.12] lr[3.52e-05]
gstep[25700] loss[0.21] lr[3.50e-05]
gstep[25800] loss[0.10] lr[3.49e-05]
gstep[25900] loss[0.12] lr[3.47e-05]
gstep[26000] loss[0.16] lr[3.46e-05]
model is saved as exps/xvec-small-triplet/model-26000.ckpt
gstep[26100] loss[0.12] lr[3.45e-05]
gstep[26200] loss[0.13] lr[3.43e-05]
gstep[26300] loss[0.13] lr[3.42e-05]
gstep[26400] loss[0.11] lr[3.40e-05]
gstep[26500] loss[0.16] lr[3.39e-05]
gstep[26600] loss[0.17] lr[3.38e-05]
gstep[26700] loss[0.12] lr[3.36e-05]
gstep[26800] loss[0.11] lr[3.35e-05]
gstep[26900] loss[0.17] lr[3.34e-05]
gstep[27000] loss[0.13] lr[3.32e-05]
model is saved as exps/xvec-small-triplet/model-27000.ckpt
gstep[27100] loss[0.12] lr[3.31e-05]
gstep[27200] loss[0.18] lr[3.29e-05]
gstep[27300] loss[0.12] lr[3.28e-05]
gstep[27400] loss[0.15] lr[3.27e-05]
gstep[27500] loss[0.12] lr[3.25e-05]
gstep[27600] loss[0.15] lr[3.24e-05]
gstep[27700] loss[0.12] lr[3.23e-05]
gstep[27800] loss[0.14] lr[3.21e-05]
gstep[27900] loss[0.10] lr[3.20e-05]
gstep[28000] loss[0.10] lr[3.19e-05]
model is saved as exps/xvec-small-triplet/model-28000.ckpt
gstep[28100] loss[0.11] lr[3.18e-05]
gstep[28200] loss[0.10] lr[3.16e-05]
gstep[28300] loss[0.11] lr[3.15e-05]
gstep[28400] loss[0.17] lr[3.14e-05]
gstep[28500] loss[0.10] lr[3.12e-05]
gstep[28600] loss[0.12] lr[3.11e-05]
gstep[28700] loss[0.10] lr[3.10e-05]
gstep[28800] loss[0.13] lr[3.09e-05]
gstep[28900] loss[0.13] lr[3.07e-05]
gstep[29000] loss[0.11] lr[3.06e-05]
model is saved as exps/xvec-small-triplet/model-29000.ckpt
gstep[29100] loss[0.11] lr[3.05e-05]
gstep[29200] loss[0.14] lr[3.04e-05]
gstep[29300] loss[0.11] lr[3.02e-05]
gstep[29400] loss[0.09] lr[3.01e-05]
gstep[29500] loss[0.08] lr[3.00e-05]
gstep[29600] loss[0.14] lr[2.99e-05]
gstep[29700] loss[0.12] lr[2.97e-05]
gstep[29800] loss[0.09] lr[2.96e-05]
gstep[29900] loss[0.10] lr[2.95e-05]
gstep[30000] loss[0.14] lr[2.94e-05]
model is saved as exps/xvec-small-triplet/model-30000.ckpt
